web-scraper-order,web-scraper-start-url,pages,pages-href,item,item-href,prix,Location,superficie,nb pieces,nb chambres,nb salles de bains,etat ,Age,etage,Ca1,Ca2,Ca3,Ca4,Ca5,Ca6,Ca7,Ca8,Ca9,Ca10
1644854635-1255,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",2,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:2",Appartement de 99m² avec 11m² de terrasse...,https://www.mubawab.ma/fr/pa/7331080/appartement-de-99m%C2%B2-avec-11m%C2%B2-de-terrasse-en-vente-liv-in-garden,1 850 000 DH,"Maârif Extension à
				
				Casablanca","110
					m²",3 Pièces,2 Chambres,1 Salle de bain,null,null,null,Terrasse,Jardin,Concierge,Climatisation,Voir le catalogue en PDF,Voir la vidéo,null,null,null,null
1644854348-1155,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Appartement de 154m² dont cour de 22m²,https://www.mubawab.ma/fr/a/6213481/appartement-de-154m%C2%B2-dont-cour-de-22m%C2%B2,2 200 000 DH,"Ain Diab Extension à
				
				Casablanca","154
					m²",5 Pièces,3 Chambres,2 Salles de bains,Bon état,5-10 ans,"1er
					étage",Terrasse,Garage,Ascenseur,Cheminée,Marbre,Cuisine équipée,null,null,null,null
1644854563-1229,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",3,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:3",Appartement au RDC de 78m² en vente Les A...,https://www.mubawab.ma/fr/pa/7259211/appartement-au-rdc-de-78m%C2%B2-en-vente-les-all%C3%A9es-de-californie-2,1 202 000 DH,"Californie à
				
				Casablanca","78
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,null,null,Climatisation,Cuisine équipée,Four,null,null,null,null,null,null,null
1644854236-1113,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",6,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:6",Vue mer ain diab residence fermee,https://www.mubawab.ma/fr/a/7330254/vue-mer-ain-diab-residence-fermee,5 000 000 DH,"Ain Diab à
				
				Casablanca","219
					m²",8 Pièces,5 Chambres,4 Salles de bains,Bon état,5-10 ans,"4ème
					étage",Terrasse,Garage,Ascenseur,Jardin,Concierge,Vue sur mer,Salon Marocain,Salon européen,Cheminée,null
1644854518-1212,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",3,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:3",Vue exceptionnelle. Appartement habitable...,https://www.mubawab.ma/fr/a/7258078/vue-exceptionnelle-appartement-habitable-imm%C3%A9diat,2 300 000 DH,"Moulay Youssef à
				
				Casablanca","140
					m²",4 Pièces,2 Chambres,2 Salles de bains,Bon état,1-5 ans,"13ème
					étage",Terrasse,Ascenseur,Concierge,Vue sur mer,Chambre rangement,Salon européen,Climatisation,Double vitrage,Carrelage,Micro-ondes
1644854438-1181,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",4,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:4",Appartement a vendre racine,https://www.mubawab.ma/fr/a/7287337/appartement-a-vendre-racine,2 390 000 DH,"Racine à
				
				Casablanca","144
					m²",3 Pièces,2 Chambres,2 Salles de bains,Bon état,10-20 ans,"1er
					étage",Terrasse,Garage,Ascenseur,Concierge,Salon Marocain,Salon européen,Climatisation,Chauffage central,Cheminée,Cuisine équipée
1644854404-1171,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Appartement au RDC de 98m² en vente Les A...,https://www.mubawab.ma/fr/pa/7259212/appartement-au-rdc-de-98m%C2%B2-en-vente-les-all%C3%A9es-de-californie-2,1 466 000 DH,"Californie à
				
				Casablanca","98
					m²",4 Pièces,3 Chambres,1 Salle de bain,Nouveau,null,null,Climatisation,Cuisine équipée,Four,null,null,null,null,null,null,null
1644854353-1157,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Bel appartement à vendre sur tan tan bour...,https://www.mubawab.ma/fr/a/7362264/bel-appartement-%C3%A0-vendre-sur-tan-tan-bourgogne,1 300 000 DH,"Bourgogne Ouest à
				
				Casablanca","87
					m²",6 Pièces,2 Chambres,2 Salles de bains,Bon état,10-20 ans,"1er
					étage",Terrasse,Garage,Ascenseur,Jardin,Concierge,Chambre rangement,Salon Marocain,Salon européen,Antenne parabolique,Cuisine équipée
1644854588-1238,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",3,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:3",Somptueuse villa ultra moderne à vendre,https://www.mubawab.ma/fr/a/7146643/somptueuse-villa-ultra-moderne-%C3%A0-vendre,23 000 000 DH,"Ain Diab à
				
				Casablanca","1200
					m²",8 Pièces,4 Chambres,4 Salles de bains,Bon état,null,null,Terrasse,Garage,Piscine,Jardin,Concierge,Vue sur mer,Climatisation,Chauffage central,Sécurité,null
1644854193-1096,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",7,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:7","Appart 100m² avec 47m² Terrasse, sup vend...",https://www.mubawab.ma/fr/pa/7163635/appart-100m%C2%B2-avec-47m%C2%B2-terrasse-sup-vendable-76-5m%C2%B2,924 000 DH,"La Gironde à
				
				Casablanca","100
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,null,null,Terrasse,Garage,Ascenseur,Concierge,Voir la vidéo,Climatisation,Double vitrage,Antenne parabolique,TV,null
1644854366-1162,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Bel appartement au cœur de Racine,https://www.mubawab.ma/fr/a/7243152/bel-appartement-au-c%C5%93ur-de-racine,4 200 000 DH,"Racine à
				
				Casablanca","170
					m²",4 Pièces,3 Chambres,3 Salles de bains,Bon état,5-10 ans,"3ème
					étage",Terrasse,Garage,Ascenseur,Concierge,Salon Marocain,Salon européen,Climatisation,Double vitrage,Sécurité,TV
1644854511-1210,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",4,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:4",Magnifique Appartement à Racine,https://www.mubawab.ma/fr/a/7358249/magnifique-appartement-%C3%A0-racine,4 700 000 DH,"Racine à
				
				Casablanca","258
					m²",6 Pièces,4 Chambres,3 Salles de bains,Bon état,10-20 ans,"1er
					étage",Terrasse,Garage,Ascenseur,Concierge,Chambre rangement,Salon européen,Antenne parabolique,Sécurité,null,null
1644854452-1187,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",4,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:4",Bel appartements à vendre beusejour,https://www.mubawab.ma/fr/a/7138768/bel-appartements-%C3%A0-vendre-beusejour,3 200 000 DH,"Franceville à
				
				Casablanca","191
					m²",3 Pièces,3 Chambres,3 Salles de bains,Nouveau,1-5 ans,"4ème
					étage",Terrasse,Garage,Ascenseur,Concierge,Chambre rangement,Salon Marocain,Salon européen,Climatisation,Antenne parabolique,Marbre
1644854473-1195,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",4,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:4",Studio de 41m² avec 39m² de terrasse en v...,https://www.mubawab.ma/fr/pa/7331106/studio-de-41m%C2%B2-avec-39m%C2%B2-de-terrasse-en-vente-liv-in-garden,1 040 000 DH,"Maârif Extension à
				
				Casablanca","80
					m²",2 Pièces,1 Chambre,1 Salle de bain,null,null,null,Terrasse,Jardin,Concierge,Climatisation,Voir le catalogue en PDF,Voir la vidéo,null,null,null,null
1644854471-1194,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",4,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:4",Bel appartement à vendre sur les princess...,https://www.mubawab.ma/fr/a/7365659/bel-appartement-%C3%A0-vendre-sur-les-princesses,1 400 000 DH,"Les princesses à
				
				Casablanca","92
					m²",6 Pièces,2 Chambres,2 Salles de bains,Bon état,5-10 ans,"2ème
					étage",Garage,Concierge,Chambre rangement,Salon européen,Climatisation,Chauffage central,Antenne parabolique,Sécurité,Cuisine équipée,null
1644854628-1252,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",2,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:2",Un très bel Appartement à vendre,https://www.mubawab.ma/fr/a/7311026/un-tr%C3%A8s-bel-appartement-%C3%A0-vendre,1 600 000 DH,"Maârif à
				
				Casablanca","137
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,10-20 ans,"3ème
					étage",Terrasse,Garage,Ascenseur,Concierge,Salon Marocain,Salon européen,Climatisation,Cuisine équipée,null,null
1644854299-1136,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",6,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:6",Vente d'un appartement à Belvedere Casabl...,https://www.mubawab.ma/fr/a/7355058/vente-d-un-appartement-%C3%A0-belvedere-casablanca,170 000 000 DH,"Belvédère à
				
				Casablanca","80
					m²",7 Pièces,2 Chambres,2 Salles de bains,Bon état,10-20 ans,"4ème
					étage",Terrasse,Garage,Ascenseur,Concierge,Salon Marocain,Salon européen,Climatisation,Double vitrage,Four,null
1644854306-1139,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",6,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:6",À vendre une villa à Ain Diab à côté de M...,https://www.mubawab.ma/fr/a/7348197/%C3%A0-vendre-une-villa-%C3%A0-ain-diab-%C3%A0-c%C3%B4t%C3%A9-de-morocco-mall,8 500 000 DH,"Ain Diab à
				
				Casablanca","580
					m²",5 Pièces,4 Chambres,4 Salles de bains,Bon état,5-10 ans,null,Terrasse,Garage,Piscine,Jardin,Chambre rangement,Salon Marocain,Salon européen,Climatisation,Cheminée,Cuisine équipée
1644854253-1119,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",6,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:6",Studio de luxe princesse,https://www.mubawab.ma/fr/a/7338935/studio-de-luxe-princesse,8 400 000 DH,"Bourgogne Ouest à
				
				Casablanca","40
					m²",1 Pièce,1 Chambre,1 Salle de bain,Nouveau,1-5 ans,"4ème
					étage",Garage,Ascenseur,Concierge,Climatisation,Chauffage central,Double vitrage,Antenne parabolique,Sécurité,Cuisine équipée,Réfrigérateur
1644854662-1266,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",2,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:2",Sublime villa récente 5 chambres au coeur...,https://www.mubawab.ma/fr/a/7349028/sublime-villa-r%C3%A9cente-5-chambres-au-coeur-de-ain-diab,6 350 000 DH,"Ain Diab à
				
				Casablanca","560
					m²",8 Pièces,5 Chambres,5 Salles de bains,Bon état,5-10 ans,null,Terrasse,Garage,Jardin,Concierge,Chambre rangement,Salon Marocain,Salon européen,Climatisation,Cheminée,Four
1644854358-1159,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5","Appartement F3 en vente 109m², NEXT HOUSE...",https://www.mubawab.ma/fr/pa/6300634/appartement-f3-en-vente-109m%C2%B2-next-house-casa-anfa,2 016 500 DH,"Casablanca Finance City à
				
				Casablanca","109
					m²",3 Pièces,2 Chambres,2 Salles de bains,Nouveau,null,null,Terrasse,Garage,Piscine,Jardin,Voir la vidéo,Sécurité,null,null,null,null
1644854501-1206,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",4,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:4",Bel appartement à vendre à Aïn Sebaâ. 2 b...,https://www.mubawab.ma/fr/a/7331729/bel-appartement-%C3%A0-vendre-%C3%A0-a%C3%AFn-seba%C3%A2-2-belles-chambres-antenne-parabolique-et-s%C3%A9curit%C3%A9,880 000 DH,"Aïn Sebaâ à
				
				Casablanca","88
					m²",3 Pièces,2 Chambres,2 Salles de bains,Bon état,1-5 ans,"1er
					étage",Terrasse,Garage,Ascenseur,Salon Marocain,Salon européen,Climatisation,Double vitrage,Antenne parabolique,Cuisine équipée,null
1644854162-1083,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",7,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:7",Vente Appartement Casablanca Racine,https://www.mubawab.ma/fr/a/6983932/vente-appartement-casablanca-racine,7 000 000 DH,"Racine à
				
				Casablanca","256
					m²",9 Pièces,3 Chambres,1 Salle de bain,Nouveau,"9ème
					étage",null,Ascenseur,Chauffage central,Cheminée,Cuisine équipée,null,null,null,null,null,null
1644854468-1193,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",4,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:4",Appartement de 129m² avec 12m² de terrass...,https://www.mubawab.ma/fr/pa/7331077/appartement-de-129m%C2%B2-avec-12m%C2%B2-de-terrasse-en-vente-liv-in-garden,2 280 000 DH,"Maârif Extension à
				
				Casablanca","141
					m²",4 Pièces,3 Chambres,2 Salles de bains,null,null,null,Terrasse,Jardin,Concierge,Climatisation,Voir le catalogue en PDF,Voir la vidéo,null,null,null,null
1644854421-1177,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Appartement au RDC de 73m² en vente Résid...,https://www.mubawab.ma/fr/pa/7284112/appartement-au-rdc-de-73m%C2%B2-en-vente-r%C3%A9sidence-al-hamd-2,694 000 DH,"City Dar Es Salaam à
				
				Casablanca","73
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,null,null,Ascenseur,Cuisine équipée,Four,null,Voir la vidéo,null,null,null,null,null
1644854336-1150,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Studio De Charme Avec Terrasse Plein Sud...,https://www.mubawab.ma/fr/a/7020211/studio-de-charme-avec-terrasse-plein-sud-5-em-etage,1 090 000 DH,"Ain Diab à
				
				Casablanca","62
					m²",2 Pièces,1 Chambre,1 Salle de bain,Bon état,1-5 ans,"5ème
					étage",Terrasse,Garage,Ascenseur,Jardin,Chauffage central,Antenne parabolique,Sécurité,Marbre,Réfrigérateur,null
1644854411-1173,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Appartement de 66m² en vente Résidence Le...,https://www.mubawab.ma/fr/pa/7267434/appartement-de-66m%C2%B2-en-vente-r%C3%A9sidence-les-jasmins-i,825 000 DH,"Roches Noires à
				
				Casablanca","66
					m²",3 Pièces,2 Chambres,2 Salles de bains,Nouveau,"3ème
					étage",null,Ascenseur,Cuisine équipée,null,null,null,null,null,null,null,null
1644854158-1081,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",7,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:7","Vente appartement avec TERRASSE, VUE MER...",https://www.mubawab.ma/fr/a/7365935/vente-appartement-avec-terrasse-vue-mer-bourgogn,2 200 000 DH,"Bourgogne Ouest à
				
				Casablanca","131
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,"3ème
					étage",null,Terrasse,Garage,Ascenseur,Jardin,Concierge,Vue sur mer,Climatisation,Chauffage central,Porte blindée,TV
1644854679-1273,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",2,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:2",Californie Luxueux 3 ch de 130m² balcon p...,https://www.mubawab.ma/fr/a/7082604/californie-luxueux-3-ch-de-130m%C2%B2-balcon-park,1 725 000 DH,"Californie à
				
				Casablanca","130
					m²",5 Pièces,3 Chambres,2 Salles de bains,Bon état,5-10 ans,"3ème
					étage",Garage,Ascenseur,Jardin,Concierge,Chambre rangement,Salon Marocain,Salon européen,Double vitrage,Cuisine équipée,null
1644854440-1182,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",4,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:4",Appartement haut standing a partir de dhs,https://www.mubawab.ma/fr/a/7356461/appartement-haut-standing-a-partir-de-dhs,925 000 DH,"Maârif à
				
				Casablanca","50
					m²",2 Pièces,1 Chambre,1 Salle de bain,Nouveau,Moins d'un an,null,Terrasse,Garage,Ascenseur,Concierge,Climatisation,Double vitrage,Porte blindée,Marbre,null,null
1644854568-1231,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",3,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:3",Appartement de 90m² en vente Résidence Le...,https://www.mubawab.ma/fr/pa/7267432/appartement-de-90m%C2%B2-en-vente-r%C3%A9sidence-les-jasmins-i,1 091 000 DH,"Roches Noires à
				
				Casablanca","90
					m²",4 Pièces,3 Chambres,2 Salles de bains,Nouveau,"2ème
					étage",null,Ascenseur,Cuisine équipée,null,null,null,null,null,null,null,null
1644854265-1124,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",6,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:6",Exclu coup de coeur superbe appartement,https://www.mubawab.ma/fr/a/7326539/exclu-coup-de-coeur-superbe-appartement,2 700 000 DH,"Moulay Youssef à
				
				Casablanca","193
					m²",4 Pièces,3 Chambres,2 Salles de bains,"1er
					étage",null,null,Garage,null,null,null,null,null,null,null,null,null
1644854418-1176,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Appartement au RDC de 99m² en vente Résid...,https://www.mubawab.ma/fr/pa/7284115/appartement-au-rdc-de-99m%C2%B2-en-vente-r%C3%A9sidence-al-hamd-2,934 000 DH,"City Dar Es Salaam à
				
				Casablanca","99
					m²",4 Pièces,3 Chambres,1 Salle de bain,Nouveau,null,null,Ascenseur,Cuisine équipée,Four,null,Voir la vidéo,null,null,null,null,null
1644854543-1221,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",3,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:3","Appartement de 94m² en vente, Résidence L...",https://www.mubawab.ma/fr/pa/7164105/appartement-de-94m%C2%B2-en-vente-r%C3%A9sidence-liv-in-garden,1 635 000 DH,"Maârif Extension à
				
				Casablanca","94
					m²",4 Pièces,2 Chambres,2 Salles de bains,Nouveau,Moins d'un an,null,Terrasse,Garage,Ascenseur,Jardin,Voir le catalogue en PDF,Voir la vidéo,Climatisation,Double vitrage,Porte blindée,null
1644854339-1151,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Sublime appartement avec de beaux volumes...,https://www.mubawab.ma/fr/a/7353630/sublime-appartement-avec-de-beaux-volumes-au-coeur-de-racine,2 800 000 DH,"Racine à
				
				Casablanca","191
					m²",4 Pièces,3 Chambres,3 Salles de bains,Bon état,10-20 ans,"2ème
					étage",Garage,Ascenseur,Concierge,Climatisation,Cheminée,Marbre,TV,null,null,null
1644854291-1133,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",6,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:6",Vente d'une villa de luxe à Zenith,https://www.mubawab.ma/fr/a/7244298/vente-d-une-villa-de-luxe-%C3%A0-zenith,7 000 000 DH,"Sidi Maarouf à
				
				Casablanca","450
					m²",6 Pièces,4 Chambres,3 Salles de bains,Bon état,5-10 ans,null,Terrasse,Garage,Jardin,Concierge,Chambre rangement,Salon Marocain,Salon européen,Climatisation,Antenne parabolique,Parquet
1644854153-1079,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",7,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:7",Villa à vendre à Polo 799m²,https://www.mubawab.ma/fr/a/7182970/villa-%C3%A0-vendre-%C3%A0-polo-799m%C2%B2,8 000 000 DH,"Polo à
				
				Casablanca","799
					m²",7 Pièces,4 Chambres,5 Salles de bains,Bon état,10-20 ans,null,Terrasse,Garage,Jardin,Chambre rangement,Salon Marocain,Salon européen,Climatisation,Antenne parabolique,Cuisine équipée,null
1644854191-1095,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",7,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:7",Appartement pas cher goulmima casablanca,https://www.mubawab.ma/fr/a/7334876/appartement-pas-cher-goulmima-casablanca,1 250 000 DH,"Bourgogne Ouest à
				
				Casablanca","120
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,10-20 ans,"5ème
					étage",Garage,Ascenseur,Marbre,Cuisine équipée,null,null,null,null,null,null
